Period (s), SA (ms2)
4.00534E-02, 3.77356E-02
4.00000E-02, 3.76603E-02
3.99467E-02, 3.75827E-02
3.98936E-02, 3.75029E-02
3.98406E-02, 3.74212E-02
3.97878E-02, 3.73377E-02
3.97351E-02, 3.72528E-02
3.96825E-02, 3.71667E-02
3.96301E-02, 3.70795E-02
3.95778E-02, 3.69916E-02
3.95257E-02, 3.69030E-02
3.94737E-02, 3.68141E-02
3.94218E-02, 3.67250E-02
3.93701E-02, 3.66360E-02
3.93185E-02, 3.65471E-02
3.92670E-02, 3.64587E-02
3.92157E-02, 3.63707E-02
3.91645E-02, 3.62835E-02
3.91134E-02, 3.61970E-02
3.90625E-02, 3.61114E-02
3.90117E-02, 3.60269E-02
3.89610E-02, 3.59435E-02
3.89105E-02, 3.58612E-02
3.88601E-02, 3.57801E-02
3.88098E-02, 3.57003E-02
3.87597E-02, 3.56218E-02
3.87097E-02, 3.55446E-02
3.86598E-02, 3.54687E-02
3.86100E-02, 3.53941E-02
3.85604E-02, 3.53208E-02
3.85109E-02, 3.52487E-02
3.84615E-02, 3.51778E-02
3.84123E-02, 3.51081E-02
3.83632E-02, 3.50395E-02
3.83142E-02, 3.49719E-02
3.82653E-02, 3.49053E-02
3.82166E-02, 3.48397E-02
3.81679E-02, 3.47748E-02
3.81194E-02, 3.47107E-02
3.80711E-02, 3.46473E-02
3.80228E-02, 3.45844E-02
3.79747E-02, 3.45221E-02
3.79267E-02, 3.44603E-02
3.78788E-02, 3.43988E-02
3.78310E-02, 3.43377E-02
3.77834E-02, 3.42768E-02
3.77358E-02, 3.42161E-02
3.76884E-02, 3.41556E-02
3.76412E-02, 3.40951E-02
3.75940E-02, 3.40347E-02
3.75469E-02, 3.39743E-02
3.75000E-02, 3.39140E-02
3.74532E-02, 3.38536E-02
3.74065E-02, 3.37932E-02
3.73599E-02, 3.37327E-02
3.73134E-02, 3.36722E-02
3.72671E-02, 3.36117E-02
3.72208E-02, 3.35512E-02
3.71747E-02, 3.34907E-02
3.71287E-02, 3.34302E-02
3.70828E-02, 3.33697E-02
3.70370E-02, 3.33094E-02
3.69914E-02, 3.32492E-02
3.69458E-02, 3.31891E-02
3.69004E-02, 3.31293E-02
3.68550E-02, 3.30697E-02
3.68098E-02, 3.30104E-02
3.67647E-02, 3.29514E-02
3.67197E-02, 3.28929E-02
3.66748E-02, 3.28347E-02
